country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","14-04-2025 13:00:00",12.951913,77.539784,OZONE,67,310,310
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","14-04-2025 13:00:00",12.9756843,77.5660749,PM10,86,101,94
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","14-04-2025 13:00:00",13.029152,77.585901,SO2,7,13,10
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","14-04-2025 13:00:00",12.938539,77.590100,CO,14,36,25
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","14-04-2025 13:00:00",13.003872,77.664217,PM10,NA,NA,NA
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","14-04-2025 13:00:00",21.613267,73.010555,NH3,7,8,7
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-04-2025 13:00:00",23.221714,72.654328,NO2,16,18,17
India,Gujarat,Surat,"Science Center, Surat - SMC","14-04-2025 13:00:00",21.170046,72.795405,PM10,21,58,38
India,Gujarat,Surat,"Science Center, Surat - SMC","14-04-2025 13:00:00",21.170046,72.795405,SO2,41,44,42
India,Gujarat,Surat,"Science Center, Surat - SMC","14-04-2025 13:00:00",21.170046,72.795405,CO,22,57,33
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-04-2025 13:00:00",22.969611,72.643500,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2025 13:00:00",12.917348,77.622813,CO,1,42,29
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2025 13:00:00",12.917348,77.622813,OZONE,3,85,46
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","14-04-2025 13:00:00",17.930306,77.482194,PM10,52,220,79
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","14-04-2025 13:00:00",17.930306,77.482194,SO2,23,25,24
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2025 13:00:00",11.55358,76.55521,NO2,14,36,20
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2025 13:00:00",11.55358,76.55521,OZONE,13,38,21
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2025 13:00:00",13.0270199,77.494094,PM10,53,94,64
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2025 13:00:00",13.0270199,77.494094,SO2,3,12,7
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2025 13:00:00",13.0270199,77.494094,CO,18,94,34
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","14-04-2025 13:00:00",12.990328,77.5431385,PM10,38,39,38
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","14-04-2025 13:00:00",12.990328,77.5431385,SO2,7,7,7
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2025 13:00:00",12.917348,77.622813,NO2,2,29,13
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-04-2025 13:00:00",22.969611,72.643500,OZONE,1,1,1
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","14-04-2025 13:00:00",28.3153,76.9143,NO2,50,87,70
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","14-04-2025 13:00:00",30.943887,76.801991,PM10,34,148,79
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2025 13:00:00",16.172806,75.659694,SO2,7,7,7
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2025 13:00:00",16.172806,75.659694,CO,7,37,25
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2025 13:00:00",12.9135218,77.5950804,NO2,35,37,36
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","14-04-2025 13:00:00",12.951913,77.539784,NO2,5,13,8
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","14-04-2025 13:00:00",22.977134,72.553024,CO,35,56,40
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2025 13:00:00",23.002657,72.591912,PM2.5,8,75,35
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2025 13:00:00",23.002657,72.591912,NO2,30,31,30
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","14-04-2025 13:00:00",23.107969,72.574648,NO2,55,115,66
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","14-04-2025 13:00:00",23.107969,72.574648,NH3,3,5,3
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","14-04-2025 13:00:00",23.107969,72.574648,SO2,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","14-04-2025 13:00:00",15.3714823,75.1160168,PM10,44,49,45
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","14-04-2025 13:00:00",15.3714823,75.1160168,SO2,2,3,2
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","14-04-2025 13:00:00",17.321993,76.822628,OZONE,23,58,32
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","14-04-2025 13:00:00",17.336318,76.847397,NO2,11,18,12
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","14-04-2025 13:00:00",17.336318,76.847397,SO2,3,6,3
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","14-04-2025 13:00:00",17.336318,76.847397,OZONE,NA,NA,NA
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","14-04-2025 13:00:00",15.347630,76.181767,CO,20,36,29
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","14-04-2025 13:00:00",15.347630,76.181767,OZONE,5,50,18
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","14-04-2025 13:00:00",12.415911,75.735050,NO2,NA,NA,NA
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","14-04-2025 13:00:00",12.415911,75.735050,NH3,NA,NA,NA
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","14-04-2025 13:00:00",12.415911,75.735050,SO2,NA,NA,NA
